frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.124,0.0,0.0,0.0,0
2,0.149,0.0,0.0,0.0,0
3,0.166,0.0,0.0,0.0,0
4,0.183,0.0,0.0,0.0,0
5,0.2,0.0,0.0,0.0,0
6,0.215,0.0,0.0,0.0,0
7,0.235,0.0,0.0,0.0,0
8,0.253,0.0,0.0,0.0,0
9,0.273,0.0,0.0,0.0,0
10,0.293,0.0,0.0,0.0,0
11,0.313,0.0,0.0,0.0,0
12,0.332,0.0,0.0,0.0,0
13,0.353,0.0,0.0,0.0,0
14,0.373,0.0,0.0,0.0,0
15,0.394,0.0,0.0,0.0,0
16,0.414,0.0,0.0,0.0,0
17,0.432,0.0,0.0,0.0,0
18,0.452,0.0,0.0,0.0,0
19,0.472,0.0,0.0,0.0,0
20,0.493,0.0,0.0,0.0,0
21,0.511,0.0,0.0,0.0,0
22,0.529,0.0,0.0,0.0,0
23,0.549,0.0,0.0,0.0,0
24,0.567,0.0,0.0,0.0,0
25,0.584,0.0,0.0,0.0,0
26,0.602,0.0,0.0,0.0,0
27,0.619,0.0,0.0,0.0,0
28,0.648,0.0,0.0,0.0,0
29,0.675,0.0,0.0,0.0,0
30,0.694,0.0,0.0,0.0,0
31,0.723,0.0,0.0,0.0,0
32,0.743,0.0,0.0,0.0,0
33,0.761,0.0,0.0,0.0,0
34,0.78,0.0,0.0,0.0,0
35,0.798,0.0,0.0,0.0,0
36,0.816,0.0,0.0,0.0,0
37,0.834,0.0,0.0,0.0,0
38,0.851,0.0,0.0,0.0,0
39,0.868,0.0,0.0,0.0,0
40,0.887,0.0,0.0,0.0,0
41,0.907,0.0,0.0,0.0,0
42,0.927,0.0,0.0,0.0,0
43,0.945,0.0,0.0,0.0,0
44,0.962,0.0,0.0,0.0,0
45,0.997,0.0,0.0,0.0,0
46,1.013,0.0,0.0,0.0,0
47,1.044,0.0,0.0,0.0,0
48,1.061,0.0,0.0,0.0,0
49,1.079,0.0,0.0,0.0,0
50,1.101,0.0,0.0,0.0,0
51,1.12,99.64,43.62,54.01,1
52,1.154,99.64,43.62,54.01,1
53,1.178,63.12,14.52,47.6,1
54,1.197,63.12,14.52,47.6,1
55,1.217,63.12,14.52,47.6,1
56,1.242,66.62,10.52,55.1,1
57,1.262,66.62,10.52,55.1,1
58,1.282,66.62,10.52,55.1,1
59,1.3,66.62,10.52,55.1,1
60,1.323,70.66,15.53,53.12,1
61,1.34,70.66,15.53,53.12,1
62,1.359,70.66,15.53,53.12,1
63,1.382,59.57,9.51,49.05,1
64,1.399,59.57,9.51,49.05,1
65,1.416,59.57,9.51,49.05,1
66,1.439,60.08,11.52,48.56,1
67,1.458,60.08,11.52,48.56,1
68,1.478,60.08,11.52,48.56,1
69,1.496,60.08,11.52,48.56,1
70,1.519,61.59,12.52,48.56,1
71,1.538,61.59,12.52,48.56,1
72,1.558,61.59,12.52,48.56,1
73,1.582,61.57,9.51,51.06,1
74,1.602,61.57,9.51,51.06,1
75,1.62,61.57,9.51,51.06,1
76,1.639,61.57,9.51,51.06,1
77,1.669,73.61,11.51,61.1,1
78,1.688,73.61,11.51,61.1,1
79,1.707,73.61,11.51,61.1,1
80,1.73,66.16,12.02,51.63,1
81,1.748,66.16,12.02,51.63,1
82,1.766,66.16,12.02,51.63,1
83,1.79,63.09,10.51,51.57,1
